step,loss,lr,step_time,total_time,vram_mb
0,3.3016276359558105,0.0,1.2585983276367188,1.2702476978302002,2756.923828125
1,3.509409189224243,0.0,0.0701758861541748,1.341162919998169,3703.87109375
2,3.3556413650512695,0.0,0.06479668617248535,1.4064757823944092,3704.96484375
3,3.0842108726501465,1.0000000000000002e-06,3.4133641719818115,4.820326566696167,4333.55615234375
4,4.063763618469238,1.0000000000000002e-06,0.08434367179870605,4.90546727180481,4333.55615234375
5,3.6772584915161133,1.0000000000000002e-06,0.08727192878723145,4.993430137634277,4916.328125
6,3.3453567028045654,1.0000000000000002e-06,0.07594609260559082,5.069934368133545,4917.578125
7,2.7983462810516357,2.0000000000000003e-06,0.2921292781829834,5.362547159194946,4917.578125
8,3.0820388793945312,2.0000000000000003e-06,0.08130121231079102,5.444686412811279,4917.578125
9,2.862215518951416,2.0000000000000003e-06,0.09302663803100586,5.538484334945679,4917.578125
10,3.7646312713623047,2.0000000000000003e-06,0.07791638374328613,5.617326498031616,4917.578125
11,3.3171422481536865,3e-06,0.3008596897125244,5.919248819351196,4917.578125
12,3.5787899494171143,3e-06,0.06476473808288574,5.984616041183472,4917.578125
13,3.796083927154541,3e-06,0.0651547908782959,6.05035400390625,4917.578125
14,2.9234607219696045,3e-06,0.06392669677734375,6.114805459976196,4917.578125
15,2.4954917430877686,4.000000000000001e-06,0.2726104259490967,6.3878772258758545,4917.578125
16,3.339061737060547,4.000000000000001e-06,0.0632011890411377,6.451546669006348,4917.578125
17,3.150681734085083,4.000000000000001e-06,0.06260037422180176,6.514605522155762,4917.578125
18,3.688209056854248,4.000000000000001e-06,0.06258106231689453,6.577659606933594,4917.578125
19,3.202735185623169,5e-06,0.2714264392852783,6.849592685699463,4917.578125
20,2.845771312713623,5e-06,0.06377935409545898,6.913945913314819,4917.578125
21,3.435133218765259,5e-06,0.06314802169799805,6.977819204330444,4917.578125
22,2.7843921184539795,5e-06,0.06320047378540039,7.041531085968018,4917.578125
23,3.031515121459961,6e-06,0.2737925052642822,7.315787315368652,4917.578125
24,3.3435192108154297,6e-06,0.06212115287780762,7.378376483917236,4917.578125
25,2.5498931407928467,6e-06,0.0609431266784668,7.439752817153931,4917.578125
26,3.0113675594329834,6e-06,0.0606684684753418,7.500863790512085,4917.578125
27,3.657106399536133,7.000000000000001e-06,0.27048563957214355,7.7718446254730225,4917.578125
28,2.3174071311950684,7.000000000000001e-06,0.06284689903259277,7.8352272510528564,4917.578125
29,3.3642778396606445,7.000000000000001e-06,0.06154584884643555,7.897279739379883,4917.578125
30,2.8139209747314453,7.000000000000001e-06,0.06118655204772949,7.958928823471069,4917.578125
31,2.498377561569214,8.000000000000001e-06,0.2892758846282959,8.248873233795166,4917.578125
32,3.0409810543060303,8.000000000000001e-06,0.08159685134887695,8.331045627593994,4917.578125
33,2.8882853984832764,8.000000000000001e-06,0.08921575546264648,8.421079158782959,4917.578125
34,2.6475906372070312,8.000000000000001e-06,0.08115577697753906,8.503019332885742,4917.578125
35,3.0355043411254883,9e-06,0.32980966567993164,8.833399772644043,4917.578125
36,2.8226425647735596,9e-06,0.07894086837768555,8.91318655014038,4917.578125
37,3.3014535903930664,9e-06,0.08002161979675293,8.994056701660156,4917.578125
38,3.12992000579834,9e-06,0.08059406280517578,9.075308561325073,4917.578125
39,2.992936849594116,1e-05,0.28596019744873047,9.361755132675171,4917.578125
40,2.7597358226776123,1e-05,0.07928776741027832,9.441725254058838,4917.578125
41,3.2241413593292236,1e-05,0.07468509674072266,9.517281293869019,4917.578125
42,3.4376704692840576,1e-05,0.07797646522521973,9.595740795135498,4917.578125
43,3.2269339561462402,1.1000000000000001e-05,0.2939884662628174,9.8902006149292,4917.578125
44,3.545289993286133,1.1000000000000001e-05,0.08015680313110352,9.971256017684937,4917.578125
45,3.0033466815948486,1.1000000000000001e-05,0.09494972229003906,10.066991329193115,4917.578125
46,3.294727087020874,1.1000000000000001e-05,0.08065629005432129,10.148370027542114,4917.578125
47,3.098200798034668,1.2e-05,0.28809499740600586,10.437015771865845,4917.578125
48,3.490567207336426,1.2e-05,0.08241701126098633,10.520150661468506,4917.578125
49,2.7711997032165527,1.2e-05,0.08128666877746582,10.602421522140503,4917.578125
50,3.036911964416504,1.2e-05,0.1178901195526123,10.72140097618103,4917.578125
51,3.958308458328247,1.3000000000000001e-05,0.2915623188018799,11.014003276824951,4917.578125
52,2.923560619354248,1.3000000000000001e-05,0.06303191184997559,11.077900886535645,4917.578125
53,3.50107741355896,1.3000000000000001e-05,0.08386445045471191,11.16244912147522,4917.578125
54,3.3420422077178955,1.3000000000000001e-05,0.06937861442565918,11.232711553573608,4917.578125
55,2.928709030151367,1.4000000000000001e-05,0.3030834197998047,11.536469221115112,4917.578125
56,3.231353759765625,1.4000000000000001e-05,0.08282685279846191,11.620039463043213,4917.578125
57,3.7036616802215576,1.4000000000000001e-05,0.07345366477966309,11.694166660308838,4917.578125
58,3.3503174781799316,1.4000000000000001e-05,0.07484054565429688,11.769564628601074,4917.578125
59,3.0167036056518555,1.5e-05,0.284318208694458,12.054326057434082,4917.578125
60,3.08638596534729,1.5e-05,0.0833277702331543,12.138582944869995,4917.578125
61,3.124346971511841,1.5e-05,0.07501482963562012,12.214557647705078,4917.578125
62,3.3722424507141113,1.5e-05,0.10118556022644043,12.316672325134277,4917.578125
63,2.57004714012146,1.6000000000000003e-05,0.30203723907470703,12.619335412979126,4917.578125
64,3.3308069705963135,1.6000000000000003e-05,0.061820030212402344,12.682008504867554,4917.578125
65,1.751275897026062,1.6000000000000003e-05,0.10009527206420898,12.782876968383789,4917.578125
66,3.4424099922180176,1.6000000000000003e-05,0.07391142845153809,12.857517719268799,4917.578125
67,2.8006207942962646,1.7000000000000003e-05,0.2906813621520996,13.148740291595459,4917.578125
68,2.1227121353149414,1.7000000000000003e-05,0.08135581016540527,13.230912208557129,4917.578125
69,3.1566834449768066,1.7000000000000003e-05,0.08958673477172852,13.321399211883545,4917.578125
70,3.1464297771453857,1.7000000000000003e-05,0.07855939865112305,13.400668144226074,4917.578125
71,3.1060023307800293,1.8e-05,0.28169965744018555,13.683068037033081,4917.578125
72,2.9488608837127686,1.8e-05,0.06303071975708008,13.746720314025879,4917.578125
73,3.514014482498169,1.8e-05,0.07462072372436523,13.822244882583618,4917.578125
74,2.9693918228149414,1.8e-05,0.08091878890991211,13.903984069824219,4917.578125
75,2.832526206970215,1.9e-05,0.2823951244354248,14.186912059783936,4917.578125
76,3.0535385608673096,1.9e-05,0.08093905448913574,14.268741607666016,4917.578125
77,3.061061143875122,1.9e-05,0.0933828353881836,14.363004207611084,4917.578125
78,2.6730427742004395,1.9e-05,0.08933687210083008,14.45297384262085,4917.578125
79,2.848334789276123,2e-05,0.28908824920654297,14.74250841140747,4917.578125
80,3.378176689147949,2e-05,0.07382512092590332,14.816941499710083,4917.578125
81,2.8943233489990234,2e-05,0.08687043190002441,14.904619932174683,4917.578125
82,3.1488702297210693,2e-05,0.06377291679382324,14.96910285949707,4917.578125
83,2.0557126998901367,2.1e-05,0.2966599464416504,15.266323566436768,4917.578125
84,2.977712869644165,2.1e-05,0.07878708839416504,15.345694541931152,4917.578125
85,3.4182586669921875,2.1e-05,0.0754847526550293,15.42182207107544,4917.578125
86,1.8717222213745117,2.1e-05,0.09127116203308105,15.51398515701294,4917.578125
87,2.945040225982666,2.2000000000000003e-05,0.29915404319763184,15.813737154006958,4917.578125
88,3.049164295196533,2.2000000000000003e-05,0.0815267562866211,15.895936489105225,4917.578125
89,3.489307403564453,2.2000000000000003e-05,0.07449960708618164,15.971079111099243,4917.578125
90,3.03128981590271,2.2000000000000003e-05,0.08191752433776855,16.05396842956543,4917.578125
91,2.964846611022949,2.3000000000000003e-05,0.29601144790649414,16.350987672805786,4917.578125
92,3.238297462463379,2.3000000000000003e-05,0.06081962585449219,16.412317991256714,4917.578125
93,2.812614679336548,2.3000000000000003e-05,0.061246633529663086,16.47402262687683,4917.578125
94,2.913701057434082,2.3000000000000003e-05,0.0879964828491211,16.56267213821411,4917.578125
95,2.941272258758545,2.4e-05,0.29187822341918945,16.855123281478882,4917.578125
96,2.7900373935699463,2.4e-05,0.06435537338256836,16.92043137550354,4917.578125
97,1.152207612991333,2.4e-05,0.10184192657470703,17.023200273513794,4917.578125
98,2.770035743713379,2.4e-05,0.08765888214111328,17.111653089523315,4917.578125
99,3.041464328765869,2.5e-05,0.2991182804107666,17.411325454711914,4917.578125
100,3.0976176261901855,2.5e-05,0.08437919616699219,17.496490716934204,4917.578125
101,2.191174030303955,2.5e-05,0.08043956756591797,17.57801103591919,4917.578125
102,3.0843214988708496,2.5e-05,0.07665395736694336,17.655263423919678,4917.578125
103,1.626653790473938,2.6000000000000002e-05,0.29067540168762207,17.946367025375366,4917.578125
104,2.86193585395813,2.6000000000000002e-05,0.08251309394836426,18.029467821121216,4917.578125
105,3.020707607269287,2.6000000000000002e-05,0.07700562477111816,18.10716485977173,4917.578125
106,2.829639434814453,2.6000000000000002e-05,0.08093547821044922,18.18868398666382,4917.578125
107,3.0475640296936035,2.7000000000000002e-05,0.2853269577026367,18.47451114654541,4917.578125
108,2.9726433753967285,2.7000000000000002e-05,0.06457662582397461,18.539626836776733,4917.578125
109,3.0181684494018555,2.7000000000000002e-05,0.06421113014221191,18.604427576065063,4917.578125
110,2.969435930252075,2.7000000000000002e-05,0.06288409233093262,18.66784930229187,4917.578125
111,4.857019424438477,2.8000000000000003e-05,0.27880287170410156,18.947282314300537,4917.578125
