step,loss,lr,step_time,total_time,vram_mb
0,3.4339771270751953,0.0,1.3316357135772705,1.3436377048492432,2756.923828125
1,2.4403088092803955,0.0,0.10629010200500488,1.451286792755127,3703.87109375
2,3.2412362098693848,0.0,0.09519386291503906,1.5473871231079102,3704.96484375
3,3.2117671966552734,5.000000000000001e-07,0.1685318946838379,1.7166545391082764,4926.21044921875
4,3.6011881828308105,5.000000000000001e-07,0.09415316581726074,1.8117711544036865,4926.21044921875
5,3.2161507606506348,5.000000000000001e-07,0.11137032508850098,1.9242184162139893,5623.234375
6,2.9826905727386475,5.000000000000001e-07,0.07732319831848145,2.0022575855255127,5623.234375
7,3.2094974517822266,1.0000000000000002e-06,0.1100471019744873,2.1128811836242676,5623.234375
8,3.093172788619995,1.0000000000000002e-06,0.08269405364990234,2.1963131427764893,5623.234375
9,3.572477102279663,1.0000000000000002e-06,0.0817863941192627,2.278968572616577,5623.234375
10,3.635632276535034,1.0000000000000002e-06,0.09015727043151855,2.3704285621643066,5623.234375
11,3.0398378372192383,1.5e-06,0.10760211944580078,2.479194402694702,5623.234375
12,3.276501417160034,1.5e-06,0.07590675354003906,2.555699348449707,5623.234375
13,3.1390798091888428,1.5e-06,0.08412504196166992,2.640437602996826,5623.234375
14,3.352869987487793,1.5e-06,0.06846070289611816,2.709719657897949,5623.234375
15,2.9765963554382324,2.0000000000000003e-06,0.11123347282409668,2.821477174758911,5623.234375
16,2.89245867729187,2.0000000000000003e-06,0.06800341606140137,2.8899447917938232,5623.234375
17,3.4982972145080566,2.0000000000000003e-06,0.0740971565246582,2.9647958278656006,5623.234375
18,3.203598737716675,2.0000000000000003e-06,0.09215641021728516,3.057913064956665,5623.234375
19,2.7945330142974854,2.5e-06,0.10057544708251953,3.1589975357055664,5623.234375
20,4.317452907562256,2.5e-06,0.08222246170043945,3.241652488708496,5623.234375
21,3.0449585914611816,2.5e-06,0.07867074012756348,3.321134090423584,5623.234375
22,3.2091751098632812,2.5e-06,0.07980465888977051,3.401726484298706,5623.234375
23,3.122222661972046,3e-06,0.10700511932373047,3.509263515472412,5623.234375
24,2.9657204151153564,3e-06,0.06848382949829102,3.5782318115234375,5623.234375
25,3.312636375427246,3e-06,0.0824742317199707,3.661435842514038,5623.234375
26,3.401588201522827,3e-06,0.07208085060119629,3.7344117164611816,5623.234375
27,2.4125568866729736,3.5000000000000004e-06,0.11106657981872559,3.8460211753845215,5623.234375
28,3.573570966720581,3.5000000000000004e-06,0.057721614837646484,3.9041097164154053,5623.234375
29,2.883133888244629,3.5000000000000004e-06,0.05962181091308594,3.9641146659851074,5623.234375
30,3.3886942863464355,3.5000000000000004e-06,0.05924415588378906,4.023759603500366,5623.234375
31,3.376430034637451,4.000000000000001e-06,0.08758282661437988,4.11194920539856,5623.234375
32,2.784538507461548,4.000000000000001e-06,0.061548709869384766,4.173946142196655,5623.234375
33,2.830460548400879,4.000000000000001e-06,0.06354975700378418,4.237962961196899,5623.234375
34,3.9501092433929443,4.000000000000001e-06,0.06256508827209473,4.301015853881836,5623.234375
35,2.77970027923584,4.5e-06,0.08682990074157715,4.388253211975098,5623.234375
36,3.0935378074645996,4.5e-06,0.05813026428222656,4.446763277053833,5623.234375
37,2.8493077754974365,4.5e-06,0.0602264404296875,4.507411479949951,5623.234375
38,3.5391030311584473,4.5e-06,0.05914020538330078,4.566930055618286,5623.234375
39,3.2042157649993896,5e-06,0.0840597152709961,4.651313304901123,5623.234375
40,3.4163248538970947,5e-06,0.05922746658325195,4.7109174728393555,5623.234375
