step,loss,lr,step_time,total_time,vram_mb
0,3.2794671058654785,0.0,1.193284511566162,1.2035696506500244,2756.923828125
1,2.7697832584381104,0.0,0.11087799072265625,1.3152947425842285,3703.87109375
2,2.636681079864502,0.0,0.06485652923583984,1.380866289138794,3704.96484375
3,2.605510950088501,1.0000000000000002e-06,3.208899736404419,4.590290069580078,3988.68115234375
4,3.410876750946045,1.0000000000000002e-06,0.0647730827331543,4.655572891235352,4319.099609375
5,3.0892271995544434,1.0000000000000002e-06,0.1066281795501709,4.76268744468689,5262.234375
6,3.414271831512451,1.0000000000000002e-06,0.06208372116088867,4.825289726257324,5262.984375
7,2.903568744659424,2.0000000000000003e-06,0.18261408805847168,5.008369445800781,5262.984375
8,3.095937728881836,2.0000000000000003e-06,0.06113910675048828,5.069947719573975,5262.984375
9,3.095097064971924,2.0000000000000003e-06,0.06130480766296387,5.131701231002808,5262.984375
10,3.0308492183685303,2.0000000000000003e-06,0.06148099899291992,5.193637132644653,5262.984375
11,2.76231050491333,3e-06,0.18236184120178223,5.376725912094116,5262.984375
12,3.337804079055786,3e-06,0.06238842010498047,5.439553737640381,5262.984375
13,3.454796075820923,3e-06,0.06109023094177246,5.5010621547698975,5262.984375
14,3.0857229232788086,3e-06,0.0610957145690918,5.562618970870972,5262.984375
15,3.7644920349121094,4.000000000000001e-06,0.1824324131011963,5.745445251464844,5262.984375
16,3.9263689517974854,4.000000000000001e-06,0.05961871147155762,5.805513381958008,5262.984375
17,2.957536220550537,4.000000000000001e-06,0.061583757400512695,5.867533922195435,5262.984375
18,3.107090711593628,4.000000000000001e-06,0.06274747848510742,5.930715084075928,5262.984375
19,1.8013432025909424,5e-06,0.18390631675720215,6.115084171295166,5262.984375
20,3.2870941162109375,5e-06,0.06663990020751953,6.182357311248779,5262.984375
21,2.787672996520996,5e-06,0.07434678077697754,6.257584571838379,5262.984375
22,3.4434003829956055,5e-06,0.06729841232299805,6.325646877288818,5262.984375
23,3.345353841781616,6e-06,0.2101118564605713,6.5362708568573,5262.984375
24,2.4649524688720703,6e-06,0.07983851432800293,6.617276430130005,5262.984375
25,2.964280605316162,6e-06,0.0994863510131836,6.717685699462891,5262.984375
26,2.8939754962921143,6e-06,0.10472416877746582,6.823299884796143,5262.984375
27,3.1783814430236816,7.000000000000001e-06,0.1997544765472412,7.023702383041382,5262.984375
28,3.5398049354553223,7.000000000000001e-06,0.08338689804077148,7.1077721118927,5262.984375
29,2.6921207904815674,7.000000000000001e-06,0.0879359245300293,7.196467638015747,5262.984375
30,2.8991312980651855,7.000000000000001e-06,0.08711886405944824,7.284244775772095,5262.984375
31,2.6747982501983643,8.000000000000001e-06,0.25259852409362793,7.537640571594238,5262.984375
