step,loss,lr,step_time,total_time,vram_mb
29,3.373659610748291,1e-05,0.06749796867370605,3.3309109210968018,2452.302734375
30,2.6707457304000854,1e-05,0.06769251823425293,3.4041783809661865,2452.302734375
31,3.447272300720215,1e-05,0.06507134437561035,3.4751203060150146,2452.302734375
32,3.673246145248413,1e-05,0.06643509864807129,3.5477614402770996,2452.302734375
33,3.1443907022476196,1e-05,0.06489419937133789,3.618828773498535,2452.302734375
34,3.683089852333069,1e-05,0.06482362747192383,3.6897940635681152,2452.302734375
35,3.0509326457977295,1e-05,0.06517338752746582,3.7610833644866943,2452.302734375
36,3.156163454055786,1e-05,0.06529664993286133,3.8324031829833984,2452.302734375
37,3.150357723236084,1e-05,0.06565546989440918,3.9042108058929443,2452.302734375
38,3.3396722078323364,1e-05,0.06457352638244629,3.9748806953430176,2452.302734375
39,2.9421274662017822,1e-05,0.06479549407958984,4.0455780029296875,2452.302734375
40,3.1190191507339478,1e-05,0.06577682495117188,4.117490291595459,2452.302734375
41,2.7126067876815796,1e-05,0.06592106819152832,4.189297676086426,2452.302734375
42,3.728737235069275,1e-05,0.06648898124694824,4.261622190475464,2452.302734375
43,3.2527153491973877,1e-05,0.0647735595703125,4.3324854373931885,2452.302734375
44,3.7461962699890137,1e-05,0.06576418876647949,4.404329538345337,2452.302734375
45,3.088447690010071,1e-05,0.06482243537902832,4.475212335586548,2452.302734375
46,3.1132041215896606,1e-05,0.06498122215270996,4.546035528182983,2452.302734375
47,3.5995280742645264,1e-05,0.06518864631652832,4.617131948471069,2452.302734375
48,3.4638454914093018,1e-05,0.0649421215057373,4.688233137130737,2452.302734375
49,3.0166029930114746,1e-05,0.06514143943786621,4.759408473968506,2452.302734375
50,2.8980926275253296,1e-05,0.06542849540710449,4.831196308135986,2452.302734375
51,2.439109206199646,1e-05,0.06557655334472656,4.90303635597229,2452.302734375
52,3.040684461593628,1e-05,0.06600832939147949,4.9751527309417725,2452.302734375
53,3.2759783267974854,1e-05,0.06504130363464355,5.046238899230957,2452.302734375
54,4.014437675476074,1e-05,0.0656731128692627,5.117855787277222,2452.302734375
55,2.9989341497421265,1e-05,0.06530189514160156,5.188989639282227,2452.302734375
56,3.1598119735717773,1e-05,0.06534337997436523,5.260388612747192,2452.302734375
57,3.426706314086914,1e-05,0.06488919258117676,5.331358909606934,2452.302734375
58,3.869022011756897,1e-05,0.06517767906188965,5.402713775634766,2452.302734375
59,3.6162052154541016,1e-05,0.0649862289428711,5.473910093307495,2452.302734375
60,3.007646322250366,1e-05,0.06569886207580566,5.54561710357666,2452.302734375
61,3.515714645385742,1e-05,0.06726646423339844,5.619093656539917,2452.302734375
62,2.9715588092803955,1e-05,0.06803393363952637,5.692834377288818,2452.302734375
63,3.9052693843841553,1e-05,0.06762814521789551,5.766110897064209,2452.302734375
64,4.111178636550903,1e-05,0.06676173210144043,5.838693618774414,2452.302734375
65,3.318494439125061,1e-05,0.06579113006591797,5.910490989685059,2452.302734375
66,3.854498028755188,1e-05,0.06478333473205566,5.981419324874878,2452.302734375
67,3.612568497657776,1e-05,0.0644681453704834,6.052175045013428,2452.302734375
68,3.8053336143493652,1e-05,0.10259270668029785,6.16090989112854,2452.302734375
69,3.828920841217041,1e-05,0.06651782989501953,6.232974290847778,2452.302734375
70,3.8936184644699097,1e-05,0.06567764282226562,6.304764986038208,2452.302734375
